SCANOPY,2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,FileName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSize H V PxSizeH PxSizeV,Edited Sharpened ChromAberRemoval_RGB,Camera Make Model Software,LensFocLength [Equiv. 35mm],Aperture,ExposureTime,Camera ISO Metering,Camera Exposure Prog. Bias Mode,Camera Gain Contrast Saturation Sharpness,UserCameraModel-SN LensModel-SN,FOVMax,LensType LensCalCoef[0 to 9],HemiRadiusCentreHV/CoverExtCoef,GapSizeDist Method Params,Bonhom ViewAng Span,LAI2000 NRing PathLengthSubs,LAISphereProjCoef LAIUsedForG(z),NSky NZen NOrien[Orig] ZenMin ZenMax DifRadModel,GapFrZeroSubs PxOrGap,ZenithRingsRange,NofMask,RadiationUnits,TimeZone,MinutesInterval,GrowSeasActive Begin End DayInt,SubstDirRad DiffRad,NDVI-ClrIndex Definition,NDVI_IndexTotal,NDVI_IndexAvg,NDVI_IndexMin,NDVI_IndexMax,,,,SolarConstant PARToRadRatio DiffRadToDirRadRatio AtmTrans SunSizeMeth,Channel NBits,PxClassifMeth PxClassifModif,FieldTripDate,FieldTripSite,FieldTripOpAssist,AcquisitionTime,MemoryCard,CameraHeight,Plot,SkyCond,Analyst,Comment,Slope Aspect,NorthRef Declination[Negative=W],Orientation,Latitude[<0=S],Longitude[<0=W],Altitude,CrownProjArea(CPA),GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD),CrownCoverRatio,FoliageCoverRatio,CrownPorosity,LAIAtZenViewAngle,LAIBeerLambert,LAI(Bonhom)-Lin CICorr,LAI(2000)-Lin CICorr,LAI(2000G)-Lin CICorr,LAI(Sphere)-Lin CICorr,LAI(Ellips)-Lin CICorr,LAI(Bonhom)-Log CICorr,LAI(2000)-Log CICorr,LAI(2000G)-Log CICorr,LAI(Sphere)-Log CICorr,LAI(Ellips)-Log CICorr,SilhouetteArea(SA)/FoliageA,CrownArea(CA)/TotGapA,FrameArea(PFA)/ImageA,LAI IsolTree/FoliageCover,DirectSiteFactor,IndirectSiteFactor,TotalSiteFactor,PPFDDirectOverPerDay[MJorMol/m2day],PPFDDiffuseOverPerDay[MJorMol/m2day],PPFDTotalOverPerDay[MJorMol/m2day],PPFDDirectUnderPerDay[MJorMol/m2day],PPFDDiffuseUnderPerDay[MJorMol/m2day],PPFDTotalUnderPerDay[MJorMol/m2day],GapRgnArea,GapRgnZen,GapRgnAz,GapRgnHeight,GapRgnGapFrac,GapRgnDirRadOver,GapRgnDirRadUnder,GapRgnDifRadOver,GapRgnDifRadUnder,...
Photo#,GAP_FRACTION,Zenith,0.0<= Az < 45.0,45.0<= Az < 90.0,90.0<= Az < 135.0,135.0<= Az < 180.0,180.0<= Az < 225.0,225.0<= Az < 270.0,270.0<= Az < 315.0,315.0<= Az < 360.0,GapFr(z)/CI(z)Lin,Openness(z)/CI(z)Log,G(z)Lin,G(z)Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,PPFD_TYPE,Date,BeginningHour,MinutesInterval,TotalForDay[MJorMol/m2day],,Value1[JorUMol/m2s],Value2[JorUMol/m2s],Value3[JorUMol/m2s],...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,%Rad/Hr,Hour,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo#,DensOrCumulDens,X,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,
1,20180606pace1.JPG,1/10/2019 9:10,2018:06:06 11:07:30,2018:06:06 11:07:30,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,500,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2982.00 1920.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6295373.1,0.766,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:07,1,0,1,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,5.61,5.73,3.02,3.21,2.86,3.66,2.88,4.86,3.7,3.9,3.69,4.94,3.79,2.88,3,0.82,0.82,0.78,0.74,0.76,1,,,,,,0,0,0,0,2.88,3.705,3.899,3.686,4.945,3.789,,,,,0.0834,0.0641,0.0809,43.36,6.5,49.87,3.62,0.42,4.04,,,,,,,,,,
2,20180606pace2.JPG,1/10/2019 9:11,2018:06:06 11:11:04,2018:06:06 11:11:04,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1250,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2922.00 1998.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5726059.3,0.697,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:11,1,0,2,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,8.51,9.23,2.25,2.76,2.36,2.82,2.43,6.84,3.11,3.19,3.02,4.04,3.26,5.94,4,0.72,0.87,0.78,0.7,0.74,1,,,,,,0,0,0,0,2.425,3.109,3.189,3.02,4.039,3.261,,,,,0.2218,0.139,0.211,43.36,6.5,49.87,9.62,0.9,10.52,,,,,,,,,,
3,20180606pace3.JPG,1/10/2019 9:12,2018:06:06 11:13:25,2018:06:06 11:13:25,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,1000,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2928.00 2004.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6226144.4,0.758,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:13,1,0,3,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,6.04,6.31,3.82,3.12,2.85,3.11,2.61,7.2,5.95,3.96,3.98,4.43,3.65,7.02,2,0.64,0.79,0.72,0.7,0.72,1,,,,,,0,0,0,0,2.614,5.949,3.959,3.982,4.434,3.652,,,,,0.0454,0.0823,0.0502,43.36,6.5,49.87,1.97,0.54,2.51,,,,,,,,,,
4,20180606pace4.JPG,1/10/2019 9:12,2018:06:06 11:16:08,2018:06:06 11:16:08,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,400,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2928.00 1896.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6618948.6,0.806,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:16,1,0,4,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,3.05,3,5.01,4.14,3.67,4.8,3.68,1.44,5.81,4.57,4.25,5.95,4.47,1.44,6,0.86,0.9,0.86,0.81,0.82,1,,,,,,0,0,0,0,3.677,5.806,4.574,4.249,5.948,4.471,,,,,0.0396,0.0274,0.038,43.36,6.5,49.87,1.72,0.18,1.9,,,,,,,,,,
5,20180606pace5.JPG,1/10/2019 9:12,2018:06:06 11:17:52,2018:06:06 11:17:52,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,500,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2970.00 1884.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6976289.1,0.849,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:17,1,0,5,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,2.29,2.46,3.42,3.99,3.62,4.65,3.76,9.54,5.78,4.54,4.29,5.57,4.47,7.92,2,0.59,0.88,0.85,0.83,0.84,1,,,,,,0,0,0,0,3.758,5.777,4.54,4.288,5.568,4.465,,,,,0.0333,0.0335,0.0333,43.36,6.5,49.87,1.44,0.22,1.66,,,,,,,,,,
6,20180606pace6.JPG,1/10/2019 9:13,2018:06:06 11:22:46,2018:06:06 11:22:46,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2970.00 1992.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7291929.1,0.888,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:22,1,0,6,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,1.9,2.04,3.92,4.38,3.85,4.5,3.76,7.74,5.64,5.15,4.75,5.76,4.72,6.66,0,0.69,0.85,0.81,0.78,0.8,1,,,,,,0,0,0,0,3.764,5.645,5.148,4.752,5.763,4.718,,,,,0.0499,0.0292,0.0472,43.36,6.5,49.87,2.16,0.19,2.35,,,,,,,,,,
7,20180606pace7.JPG,1/10/2019 9:13,2018:06:06 11:26:28,2018:06:06 11:26:28,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,640,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2964.00 1944.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6397214.3,0.779,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:26,1,0,7,Sunny,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,4.4,4.75,3.62,3.32,2.95,3.33,2.88,7.56,4.48,3.88,3.77,4.51,3.79,7.2,4,0.81,0.86,0.78,0.74,0.76,1,,,,,,0,0,0,0,2.882,4.477,3.88,3.766,4.51,3.787,,,,,0.0512,0.0687,0.0535,43.36,6.5,49.87,2.22,0.45,2.67,,,,,,,,,,
8,20180606pace8.JPG,1/10/2019 9:14,2018:06:06 11:28:59,2018:06:06 11:28:59,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,640,100 CenterWeighted,AperturePriority -0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Interactive Linear,1617.00 2946.00 1938.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6425377.3,0.782,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,11:28,1,0,8,Sunny,_,_,0.00-0.00,M 0.0,0,38,-78.3,0,1,4,4.2,4.01,3.38,3.04,3.66,3,8.82,4.54,4.06,3.82,4.65,3.77,7.2,0,0.88,0.83,0.8,0.79,0.8,1,,,,,,0,0,0,0,3.002,4.536,4.057,3.822,4.652,3.772,,,,,0.0427,0.0533,0.044,43.36,6.5,49.87,1.85,0.35,2.2,,,,,,,,,,
