"","id","date","buffer","mean","sd"
"1",2,2018-05-03,5,0.484364794493927,0.0875704612517889
"2",3,2018-05-03,5,0.405066015456844,0.0373348338329665
"3",1,2018-05-03,5,0.409023092749903,0.044184921286515
"4",7,2018-05-03,5,0.438074102427732,0.0577354011077807
"5",8,2018-05-03,5,0.460471324417881,0.0974453963907939
"6",6,2018-05-03,5,0.471127341621706,0.0747998236406487
"7",4,2018-05-03,5,0.485226865026026,0.10456606344453
"8",5,2018-05-03,5,0.479582284495418,0.0769840739738079
"9",2,2018-05-03,10,0.489722876667385,0.0967163579623324
"10",3,2018-05-03,10,0.405511775876508,0.039532451518393
"11",1,2018-05-03,10,0.413086664735151,0.0507733436931757
"12",7,2018-05-03,10,0.454222666321218,0.0676391823403932
"13",8,2018-05-03,10,0.427780047841005,0.0780826549231334
"14",6,2018-05-03,10,0.464827191092219,0.0681029357901191
"15",4,2018-05-03,10,0.460687071327529,0.0934741188070242
"16",5,2018-05-03,10,0.480863504697049,0.0854571202053876
"17",2,2018-05-03,20,0.45160947890677,0.0789350119121271
"18",3,2018-05-03,20,0.403156767740144,0.0440412609202566
"19",1,2018-05-03,20,0.413971041887778,0.0523566873327992
"20",7,2018-05-03,20,0.454497497326455,0.0725273985377063
"21",8,2018-05-03,20,0.432633361549069,0.0679701194898167
"22",6,2018-05-03,20,0.44833918894507,0.072245720832718
"23",4,2018-05-03,20,0.446685082664774,0.0812647120593046
"24",5,2018-05-03,20,0.45869839388824,0.0770782231590441
"25",2,2018-05-21,5,0.462652488061793,0.0678369848165897
"26",3,2018-05-21,5,0.458122425702016,0.0619650284093446
"27",1,2018-05-21,5,0.42397845049825,0.0559451800866168
"28",7,2018-05-21,5,0.462417631289992,0.0696930309536277
"29",8,2018-05-21,5,0.44594437103484,0.0630238016684555
"30",6,2018-05-21,5,0.465224143064216,0.0842533993006637
"31",4,2018-05-21,5,0.455274082451068,0.051401616975408
"32",5,2018-05-21,5,0.46322445492591,0.0776702967584066
"33",2,2018-05-21,10,0.460445668687802,0.0713884220898118
"34",3,2018-05-21,10,0.453712982715058,0.0664642382711982
"35",1,2018-05-21,10,0.419903120650521,0.0545509200785515
"36",7,2018-05-21,10,0.460624977139832,0.069396504883917
"37",8,2018-05-21,10,0.451092398088399,0.0751242941152295
"38",6,2018-05-21,10,0.479424034377802,0.0885934380416679
"39",4,2018-05-21,10,0.449206185868536,0.0549910729517138
"40",5,2018-05-21,10,0.471636431784341,0.0791777558868326
"41",2,2018-05-21,20,0.4544719793176,0.0761581679894444
"42",3,2018-05-21,20,0.44932847110537,0.0709473857383955
"43",1,2018-05-21,20,0.42369021913218,0.0626815108024604
"44",7,2018-05-21,20,0.467033951078209,0.0786538065190699
"45",8,2018-05-21,20,0.455520540366189,0.0777539559441
"46",6,2018-05-21,20,0.466811249984507,0.0819451792429556
"47",4,2018-05-21,20,0.446975170840841,0.0706512998254643
"48",5,2018-05-21,20,0.466434000007694,0.0814425974326398
"49",2,2018-04-26,5,0.34286255951536,0.0152132088581344
"50",3,2018-04-26,5,0.335367916495279,0.00623027707810868
"51",1,2018-04-26,5,0.373829233945934,0.0343977960485726
"52",7,2018-04-26,5,0.365426207882544,0.0233735554787342
"53",8,2018-04-26,5,0.390886613435706,0.0480562004361741
"54",6,2018-04-26,5,0.336911424467882,0.00524505122093439
"55",4,2018-04-26,5,0.38865351115458,0.0365476090836476
"56",5,2018-04-26,5,0.361642374374603,0.0174723360043505
"57",2,2018-04-26,10,0.343861704698312,0.0146459464698037
"58",3,2018-04-26,10,0.337451104503853,0.00745457655698932
"59",1,2018-04-26,10,0.371675586543122,0.0296867239301311
"60",7,2018-04-26,10,0.369859552344391,0.0313931429601948
"61",8,2018-04-26,10,0.36550807220231,0.0366579711468996
"62",6,2018-04-26,10,0.342507881236945,0.0109989728065306
"63",4,2018-04-26,10,0.377447998657129,0.0349020713515197
"64",5,2018-04-26,10,0.36191494156394,0.0242638332924797
"65",2,2018-04-26,20,0.350057661024053,0.0200940441554517
"66",3,2018-04-26,20,0.340322132381177,0.0120822409611549
"67",1,2018-04-26,20,0.36861810467128,0.0282796526257785
"68",7,2018-04-26,20,0.368154021429358,0.0285356556612351
"69",8,2018-04-26,20,0.359015436816621,0.0269638740343912
"70",6,2018-04-26,20,0.353882790748845,0.0214661979554125
"71",4,2018-04-26,20,0.36775178260545,0.0298201961866235
"72",5,2018-04-26,20,0.357670718635526,0.0212999239759992
"73",2,2018-05-07,5,0.419982408727905,0.0499197174669416
"74",3,2018-05-07,5,0.417413155922951,0.0427904475793487
"75",1,2018-05-07,5,0.449424565636173,0.0601592127882212
"76",4,2018-05-07,5,0.442500946287335,0.053346961646281
"77",5,2018-05-07,5,0.423907479471596,0.0591085220085054
"78",2,2018-05-07,10,0.421061210575513,0.0593621179730976
"79",3,2018-05-07,10,0.41421452811911,0.0459102718533428
"80",1,2018-05-07,10,0.45803038533135,0.0770488088567485
"81",4,2018-05-07,10,0.44945974826431,0.0602808008497873
"82",5,2018-05-07,10,0.391512643436073,0.0624097980447977
"83",2,2018-05-07,20,0.431324341321623,0.0741702231523421
"84",3,2018-05-07,20,0.414457507264172,0.0549462613975615
"85",1,2018-05-07,20,0.463607702841619,0.0831670326266309
"86",4,2018-05-07,20,0.421977203844968,0.0713006562667673
"87",5,2018-05-07,20,0.391661302816454,0.0676893054191193
"88",2,2018-06-04,5,0.453088926055185,0.0652137927026917
"89",3,2018-06-04,5,0.451573947077674,0.0577778519015434
"90",1,2018-06-04,5,0.42819340766699,0.0528928834741334
"91",7,2018-06-04,5,0.449087531462094,0.0635566333501369
"92",8,2018-06-04,5,0.443817165952882,0.0556098893858895
"93",6,2018-06-04,5,0.473833782318292,0.090814174430241
"94",4,2018-06-04,5,0.458120889940815,0.0630318080280543
"95",5,2018-06-04,5,0.452422408589783,0.0576445909590605
"96",2,2018-06-04,10,0.453938547905894,0.068130129457152
"97",3,2018-06-04,10,0.449226161128715,0.0585052442306705
"98",1,2018-06-04,10,0.428710451378563,0.05227837460245
"99",7,2018-06-04,10,0.458047728874768,0.0657371821011928
"100",8,2018-06-04,10,0.438480420728702,0.0592269373486539
"101",6,2018-06-04,10,0.471391894250033,0.0814355911209646
"102",4,2018-06-04,10,0.458002385819235,0.0646556768294228
"103",5,2018-06-04,10,0.463199477137098,0.0646266240772196
"104",2,2018-06-04,20,0.451061394939119,0.0729558775671713
"105",3,2018-06-04,20,0.446961201822476,0.0641854061960875
"106",1,2018-06-04,20,0.433450678051701,0.0633104175802009
"107",7,2018-06-04,20,0.464474440306234,0.0747341317696231
"108",8,2018-06-04,20,0.445526850531575,0.0598826277241683
"109",6,2018-06-04,20,0.463633506089643,0.0760429478285013
"110",4,2018-06-04,20,0.445423887631721,0.0679772730502969
"111",5,2018-06-04,20,0.462808020657996,0.0726307563567374
